cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
SBAZ2H,6101,SEBUTHYLAZINE 2-HYDROXY,Sebuthylazine 2-hydroxy,33124-61-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sebuthylazine 2-hydroxy,,
TRAZ2H,6102,TRIETAZINE 2-HYDROXY,Trietazine 2-hydroxy,13532-25-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Trietazine 2-hydroxy,,
PTU,6214,PROPYLENE THIOUREE,Propylene thiouree,2122-19-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propylene thiouree,,
DITHIO1,6235,SOMME MÉTABOLITES DITHIOCARBAMATES,Somme métabolites Dithiocarbamates,,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Somme métabolites Dithiocarbamates,,
FIPRO02,6260,FIPRONIL SULFONE,Fipronil sulfone,120068-36-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fipronil sulfone,,
FIPRO03,6261,FIPRONIL SULFIDE,Fipronil sulfide,120067-83-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fipronil sulfide,,
FIPRO01,6262,FIPRONIL DÉSULFINYL,Fipronil désulfinyl,205650-65-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fipronil désulfinyl,,
PESTOT,6276,TOTAL DES PESTICIDES ANALYSÉS,Total des pesticides analysés,,pesticide,,,0.5,µg/L,Limite de qualité réglementaire pour la somme de tous les pesticides et métabolites pertinents,,,,,,,,,Total pesticides réglementaire,,
643PYRD,6358,PYRIDAFOL,Pyridafol,40020-01-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyridafol,,
CLDZ_D,6378,CHLORIDAZONE DESPHÉNYL,Chloridazone desphényl,6339-19-1,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,11,µg/L,Vmax établie par l'Anses en 2024,,,,Chloridazone desphényl,Interdit,
CLDZ_MD,6379,CHLORIDAZONE MÉTHYL DESPHÉNYL,Chloridazone méthyl desphényl,17254-80-7,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,110,µg/L,Vmax établie par l'Anses en 2024,,,,Chloridazone méthyl desphényl,Interdit,
OXADIM,6380,DIMÉTHACHLORE OXA,Diméthachlore OXA,1086384-49-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,220,µg/L,Vmax établie par l'Anses en 2026,,,,Diméthachlore OXA,Autorisé,
DIM2ESA,6381,CGA 354742,CGA 354742,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,CGA 354742,Autorisé,
ESADIM2,6381,CGA 354742,CGA 354742,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,CGA 354742,Autorisé,
NDMS,6384,"N,N-DIMETHYLSULFAMIDE","N,N-Dimethylsulfamide",3984-14-3,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,1.43,µg/L,Valeur sanitaire transitoire (incluant un intervalle de confiance de 30%) établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,,"N,N-Dimethylsulfamide",Interdit,Métabolite du tolylfluanide
PYRAZET,6386,PYRAZOSULFURON ÉTHYL,Pyrazosulfuron éthyl,93697-74-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyrazosulfuron éthyl,,
CLOT,6389,CLOTHIANIDINE,Clothianidine,210880-92-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Clothianidine,,
THIAMET,6390,THIAMETHOXAM,Thiamethoxam,153719-23-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiamethoxam,,
FLOAMD,6393,FLONICAMIDE,Flonicamide,158062-67-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Flonicamide,Autorisé,
PENOXU,6394,PENOXSULAM,Penoxsulam,219714-96-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Penoxsulam,,
PROPAMO,6398,PROPAMOCARBE,Propamocarbe,24579-73-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,223,µg/L,Vmax établie par l'Anses en 2020,,,,Propamocarbe,Autorisé,
MANDIP,6399,MANDIPROPAMIDE,Mandipropamide,374726-62-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mandipropamide,,
IODOSU,6483,IODOSULFURON-METHYL-SODIUM,Iodosulfuron-methyl-sodium,144550-36-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Iodosulfuron-methyl-sodium,,
SDDTDE,6497,"SOMME  DDT, DDD, DDE","Somme  DDT, DDD, DDE",,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"Somme  DDT, DDD, DDE",,
PYRAZXF,6530,PYRAZOXYFEN,Pyrazoxyfen,71561-11-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyrazoxyfen,,
ETSY,6534,ETHIOFENCARB SULFOXYDE,Ethiofencarb sulfoxyde,53380-22-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethiofencarb sulfoxyde,,
FLAMPM,6539,FLAMPROP-MÉTHYL,Flamprop-méthyl,52756-25-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Flamprop-méthyl,,
FLUAZF,6545,FLUAZIFOP,Fluazifop,69335-91-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fluazifop,,
MCPABE,6552,"2,4-D-BUTOTYL","2,4-D-butotyl",1929-73-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4-D-butotyl",,
KEP5BH,6577,CHLORDECONE 5B HYDRO,Chlordecone 5b Hydro,53308-47-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlordecone 5b Hydro,,
ANILO,6594,ANILOPHOS,Anilophos,64249-01-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Anilophos,,
BENSLD,6595,BENSULIDE,Bensulide,741-58-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bensulide,,
ISCBPS,6596,ISOCARBOPHOS,Isocarbophos,24353-61-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Isocarbophos,,
ISNRRN,6597,ISONORURON,Isonoruron,28805-78-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Isonoruron,,
ETNUR,6601,ETHYLENEUREE,Ethyleneuree,120-93-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethyleneuree,Interdit,Métabolite du manèbe et du mancozèbe
PYCL,6611,PYRACLOFOS,Pyraclofos,77458-01-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyraclofos,,
QUIZPE,6637,QUIZALOFOP-P-ÉTHYL,Quizalofop-p-éthyl,100646-51-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Quizalofop-p-éthyl,,
ESALCL,6800,ESA ALACHLORE,ESA alachlore,142363-53-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA alachlore,Interdit,
LCLESA,6800,ESA ALACHLORE,ESA alachlore,142363-53-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA alachlore,Interdit,
MMTA,6803,"2-AMINO-4-METHOXY-6-METHYL-1,3,5-TRIAZINE","2-amino-4-methoxy-6-methyl-1,3,5-triazine",1668-54-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2-amino-4-methoxy-6-methyl-1,3,5-triazine",,
2ANIP,6809,2-AMINO-N-ISO-PROPYLBENZAMIDE,2-amino-N-iso-propylbenzamide,30391-89-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,2-amino-N-iso-propylbenzamide,,
DMST,6824,"N,N-DIMET-TOLYLSULPHAMID","N,N-Dimet-tolylsulphamid",66840-71-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"N,N-Dimet-tolylsulphamid",,
OXAMTC,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,OXA metolachlore,Interdit,
MTCOXA,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,OXA metolachlore,Interdit,
ESAMTC,6854,ESA METOLACHLORE,ESA metolachlore,171118-09-5,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA metolachlore,Interdit,
MTCESA,6854,ESA METOLACHLORE,ESA metolachlore,171118-09-5,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA metolachlore,Interdit,
OXALCL,6855,OXA ALACHLORE,OXA alachlore,171262-17-2,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,50,µg/L,Vmax établie par l'Anses en 2014,,,,OXA alachlore,Interdit,
CETCESA,6856,ESA ACETOCHLORE,ESA acetochlore,187022-11-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA acetochlore,Interdit,
ESACETC,6856,ESA ACETOCHLORE,ESA acetochlore,187022-11-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA acetochlore,Interdit,
CETCOXA,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,OXA acetochlore,Interdit,
OXACETC,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,OXA acetochlore,Interdit,
OXAFLU,6863,FLUFÉNACET OXA,Flufénacet OXA,201668-31-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,8.8,µg/L,Vmax établie par l'Anses en 2026,,,,Flufénacet OXA,Interdit,
ESAFLU,6864,FLUFENACET ESA,Flufenacet ESA,201668-32-8,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,8.8,µg/L,Vmax établie par l'Anses en 2026,,,,Flufenacet ESA,Interdit,
DMTHESA,6865,DIMÉTHÉNAMIDE ESA,Diméthénamide ESA,205939-58-8,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,Diméthénamide ESA,Autorisé,
ESADMTH,6865,DIMÉTHÉNAMIDE ESA,Diméthénamide ESA,205939-58-8,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,Diméthénamide ESA,Autorisé,
PPCHL_E,6887,PROPACHLORE ESA,Propachlore ESA,123732-85-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propachlore ESA,,
OXAMTZC,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,OXA metazachlore,Autorisé,
MTZCOXA,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,OXA metazachlore,Autorisé,
MTZCESA,6895,ESA METAZACHLORE,ESA metazachlore,172960-62-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA metazachlore,Autorisé,
ESAMTZC,6895,ESA METAZACHLORE,ESA metazachlore,172960-62-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,ESA metazachlore,Autorisé,
MCPAEE,6942,"2,4-D 2-ETHYLHEXYL","2,4-D 2-Ethylhexyl",1928-43-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4-D 2-Ethylhexyl",,
PARATH,6947,PARATHIONS (ÉTHYL+MÉTHYL),Parathions (éthyl+méthyl),,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Parathions (éthyl+méthyl),,
PRPA,6964,PROPAPHOS,Propaphos,7292-16-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propaphos,,
DIMET,6972,DIMÉTHYLVINPHOS,Diméthylvinphos,2274-67-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diméthylvinphos,,
CLAHA,7010,CHLORDANE ALPHA,Chlordane alpha,5103-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlordane alpha,,
BUTIL,7038,BUTILATE,Butilate,2008-41-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Butilate,,
PINOX,7057,PINOXADEN,Pinoxaden,243973-20-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pinoxaden,,
TEMBO,7086,TEMBOTRIONE,Tembotrione,335104-84-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tembotrione,,
TRITO,7087,TRITOSULFURON,Tritosulfuron,142469-14-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tritosulfuron,,
TNC,7097,TRANS-NONACHLORE,Trans-nonachlore,39765-80-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Trans-nonachlore,,
DIQDBMD,7142,DIQUAT DIBROMIDE,Diquat dibromide,85-00-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,6,µg/L,Vmax établie par l'Anses en 2008,,,,Diquat dibromide,,
DIMEP,7142,DIMÉPIPÉRATE,Dimépipérate,61432-55-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dimépipérate,,
MEXAC,7143,MEXACARBATE,Mexacarbate,315-18-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mexacarbate,,
DD_S2,7146,"SOMME DDD44',DDE44',DDT24',DDT44'","Somme DDD44',DDE44',DDT24',DDT44'",,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"Somme DDD44',DDE44',DDT24',DDT44'",,
CARPRO,7147,CARPROPAMIDE,Carpropamide,104030-54-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Carpropamide,,
BTCBX,7148,BUTOCARBOXIM,Butocarboxim,34681-10-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Butocarboxim,,
PHRTS,7149,PHORATE SULFONE,Phorate Sulfone,2588-04-07,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Phorate Sulfone,,
TBZDESH,7150,TERBUTHYLAZIN DÉSÉTHYL-2-HYDROXY,Terbuthylazin déséthyl-2-hydroxy,66753-06-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Terbuthylazin déséthyl-2-hydroxy,,
PYROX,7340,PYROXSULAME,Pyroxsulame,422556-08-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyroxsulame,,
FLUXA,7342,FLUXAPYROXAD,Fluxapyroxad,907204-31-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,44,µg/L,Vmax établie par l'Anses en 2020,,,,Fluxapyroxad,Autorisé,
BIX,7345,BIXAFEN,Bixafen,581809-46-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bixafen,,
PROQUI,7422,PROQUINAZID,Proquinazid,189278-12-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Proquinazid,,
BAM,7423,BENALAXYL-M,Benalaxyl-M,98243-83-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Benalaxyl-M,,
SPINOA,7438,SPINOSYNE A,Spinosyne A,131929-60-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Spinosyne A,,
SPINOD,7439,SPINOSYNE D,Spinosyne D,131929-63-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Spinosyne D,,
FRAZ,7441,FURILAZOLE,Furilazole,121776-33-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Furilazole,,
PRXP,7442,PROXIMPHAN,Proximphan,2828-42-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Proximphan,,
BENVCI,7460,BENTHIAVALICARBE-ISOPROPYL,Benthiavalicarbe-isopropyl,177406-68-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Benthiavalicarbe-isopropyl,,
UNCAZ,7482,UNICONAZOLE,Uniconazole,83657-22-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Uniconazole,,
FLPIDE,7499,FLUOPICOLIDE,Fluopicolide,239110-15-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fluopicolide,,
